"Bin ID","Deleted","Compound ID","Compound Name","Known Compound","Bin (Lt)","Bin (Rt)","Multiplicity","Peaks to Select","J (Hz)","Nucleus Assignment","HMDB ID","Sample-types that may contain compound","Chenomx","Literature","NMR Isotope","Notes"
1000,"",1000,"p-cresol_sulfate","X",8.726690,8.383960,"d",2,"","",11635,"urine","","None","1H",""
1001,"",1001,"p-cresol_sulfate","X",8.025420,7.839600,"s",9,"","",11635,"urine","","None","1H",""
1002,"",1002,"p-cresol_sulfate","X",7.750840,7.666160,"s",2,"","",11635,"urine","","None","1H",""
1003,"",1003,"p-cresol_sulfate","X",7.610100,7.556690,"s",2,"","",11635,"urine","","None","1H",""
1004,"",1004,"p-cresol_sulfate","X",7.536620,7.462640,"s",10,"","",11635,"urine","","None","1H",""
1005,"",1005,"p-cresol_sulfate","X",7.437630,7.386540,"s",4,"","",11635,"urine","","None","1H",""
1006,"",1006,"p-cresol_sulfate","X",7.313680,7.150190,"s",6,"","",11635,"urine","","None","1H",""
1007,"",1007,"p-cresol_sulfate","X",6.983820,6.889430,"s",2,"","",11635,"urine","","None","1H",""
1008,"",1008,"p-cresol_sulfate","X",4.800400,4.555340,"s",4,"","",11635,"urine","","None","1H",""
1009,"",1009,"p-cresol_sulfate","X",3.787274,3.731955,"s",1,"","",11635,"urine","","None","1H","Quick and dirty entry from a signal map - most metadata is wrong"
1010,"",1010,"p-cresol_sulfate","X",3.397805,3.318920,"s",1,"","",11635,"urine","","None","1H","Quick and dirty entry from a signal map - most metadata is wrong"
1011,"",1011,"p-cresol_sulfate","X",2.481696,2.429362,"s",1,"","",11635,"urine","","None","1H","Quick and dirty entry from a signal map - most metadata is wrong"
1012,"",1012,"p-cresol_sulfate","X",2.398850,2.201630,"s",9,"","",11635,"urine","","None","1H",""
1013,"",1013,"p-cresol_sulfate","X",2.120514,2.024509,"s",1,"","",11635,"urine","","None","1H","Quick and dirty entry from a signal map - most metadata is wrong"
1014,"",1014,"p-cresol_sulfate","X",0.138345,-0.134722,"s",1,"","",11635,"urine","","None","1H","Quick and dirty entry from a signal map - most metadata is wrong"
