HMDB_metabolite_name	Peak_position(ppm)	Peak_Intensity	Multiplet_type	Multiplet_Centre(ppm)	Multiplet_Start(ppm)	Multiplet_End(ppm)
2-Ketobutyric acid	 2.78 	 0.1939 	 q	 2.76	 2.71	 2.8
2-Ketobutyric acid	 2.77 	 0.5910 	 q	 2.76	 2.71	 2.8
2-Ketobutyric acid	 2.75 	 0.6006 	 q	 2.76	 2.71	 2.8
2-Ketobutyric acid	 2.74 	 0.2044 	 q	 2.76	 2.71	 2.8
2-Ketobutyric acid	 1.08 	 0.5044 	 t	 1.07	 1.02	 1.11
2-Ketobutyric acid	 1.07 	 1.0000 	 t	 1.07	 1.02	 1.11
2-Ketobutyric acid	 1.06 	 0.4961 	 t	 1.07	 1.02	 1.11
2-Ketobutyric acid	 1.08 	 0.5044 	 t	 1.07	 1.02	 1.11
2-Ketobutyric acid	 1.07 	 1.0000 	 t	 1.07	 1.02	 1.11
2-Ketobutyric acid	 1.06 	 0.4961 	 t	 1.07	 1.02	 1.11
2-Hydroxybutyric acid	 0.874	 0.4592	 t	 0.886	 0.842	 0.923
2-Hydroxybutyric acid	 0.886	 1.0000	 t	 0.886	 0.842	 0.923
2-Hydroxybutyric acid	 0.899	 0.4888	 t	 0.886	 0.842	 0.923
2-Hydroxybutyric acid	 1.617	 0.0450	 m	 1.644	 1.594	 1.685
2-Hydroxybutyric acid	 1.641	 0.1188	 m	 1.644	 1.594	 1.685
2-Hydroxybutyric acid	 1.653	 0.1091	 m	 1.644	 1.594	 1.685
2-Hydroxybutyric acid	 1.664	 0.0716	 m	 1.644	 1.594	 1.685
2-Hydroxybutyric acid	 1.707	 0.0688	 m	 1.727	 1.688	 1.785
2-Hydroxybutyric acid	 1.714	 0.0716	 m	 1.727	 1.688	 1.785
2-Hydroxybutyric acid	 1.719	 0.0738	 m	 1.727	 1.688	 1.785
2-Hydroxybutyric acid	 1.727	 0.0802	 m	 1.727	 1.688	 1.785
2-Hydroxybutyric acid	 1.743	 0.0440	 m	 1.727	 1.688	 1.785
2-Hydroxybutyric acid	 1.750	 0.0415	 m	 1.727	 1.688	 1.785
2-Hydroxybutyric acid	 3.981	 0.1173	 dd	 3.991	 3.964	 4.014
2-Hydroxybutyric acid	 3.989	 0.1275	 dd	 3.991	 3.964	 4.014
2-Hydroxybutyric acid	 3.992	 0.1288	 dd	 3.991	 3.964	 4.014
2-Hydroxybutyric acid	 4.000	 0.1201	 dd	 3.991	 3.964	 4.014
2-Hydroxybutyric acid	 4.000	 0.1201	 dd	 3.991	 3.964	 4.014
2-Hydroxybutyric acid	 3.981	 0.1173	 dd	 3.991	 3.964	 4.014
2-Hydroxybutyric acid	 3.989	 0.1275	 dd	 3.991	 3.964	 4.014
2-Hydroxybutyric acid	 3.992	 0.1288	 dd	 3.991	 3.964	 4.014
2-Hydroxybutyric acid	 4.000	 0.1201	 dd	 3.991	 3.964	 4.014
2-Hydroxybutyric acid	 4.000	 0.1201	 dd	 3.991	 3.964	 4.014
2-Hydroxybutyric acid	 3.981	 0.1173	 dd	 3.991	 3.964	 4.014
2-Hydroxybutyric acid	 3.989	 0.1275	 dd	 3.991	 3.964	 4.014
2-Hydroxybutyric acid	 3.992	 0.1288	 dd	 3.991	 3.964	 4.014
2-Hydroxybutyric acid	 4.000	 0.1201	 dd	 3.991	 3.964	 4.014
2-Hydroxybutyric acid	 4.000	 0.1201	 dd	 3.991	 3.964	 4.014
Carnosine	 2.66	 0.0373	 dt	 2.68	 2.66	 2.71
Carnosine	 2.66	 0.1152	 dt	 2.68	 2.66	 2.71
Carnosine	 2.67	 0.2407	 dt	 2.68	 2.66	 2.71
Carnosine	 2.68	 0.1309	 dt	 2.68	 2.66	 2.71
Carnosine	 2.69	 0.1340	 dt	 2.68	 2.66	 2.71
Carnosine	 2.69	 0.1809	 dt	 2.68	 2.66	 2.71
Carnosine	 2.70	 0.1290	 dt	 2.68	 2.66	 2.71
Carnosine	 2.71	 0.0388	 dt	 2.68	 2.66	 2.71
Carnosine	 2.66	 0.0373	 dt	 2.68	 2.66	 2.71
Carnosine	 2.66	 0.1152	 dt	 2.68	 2.66	 2.71
Carnosine	 2.67	 0.2407	 dt	 2.68	 2.66	 2.71
Carnosine	 2.68	 0.1309	 dt	 2.68	 2.66	 2.71
Carnosine	 2.69	 0.1340	 dt	 2.68	 2.66	 2.71
Carnosine	 2.69	 0.1809	 dt	 2.68	 2.66	 2.71
Carnosine	 2.70	 0.1290	 dt	 2.68	 2.66	 2.71
Carnosine	 2.71	 0.0388	 dt	 2.68	 2.66	 2.71
Carnosine	 2.66	 0.0373	 dt	 2.68	 2.66	 2.71
Carnosine	 2.66	 0.1152	 dt	 2.68	 2.66	 2.71
Carnosine	 2.67	 0.2407	 dt	 2.68	 2.66	 2.71
Carnosine	 2.68	 0.1309	 dt	 2.68	 2.66	 2.71
Carnosine	 2.69	 0.1340	 dt	 2.68	 2.66	 2.71
Carnosine	 2.69	 0.1809	 dt	 2.68	 2.66	 2.71
Carnosine	 2.70	 0.1290	 dt	 2.68	 2.66	 2.71
Carnosine	 2.71	 0.0388	 dt	 2.68	 2.66	 2.71
Carnosine	 3.01	 0.1038	 dd	 3.03	 3	 3.06
Carnosine	 3.03	 0.1049	 dd	 3.03	 3	 3.06
Carnosine	 3.04	 0.1446	 dd	 3.03	 3	 3.06
Carnosine	 3.05	 0.1440	 dd	 3.03	 3	 3.06
Carnosine	 3.01	 0.1038	 dd	 3.03	 3	 3.06
Carnosine	 3.03	 0.1049	 dd	 3.03	 3	 3.06
Carnosine	 3.04	 0.1446	 dd	 3.03	 3	 3.06
Carnosine	 3.05	 0.1440	 dd	 3.03	 3	 3.06
Carnosine	 3.17	 0.1269	 dd	 3.19	 3.16	 3.21
Carnosine	 3.18	 0.1337	 dd	 3.19	 3.16	 3.21
Carnosine	 3.19	 0.0965	 dd	 3.19	 3.16	 3.21
Carnosine	 3.19	 0.0958	 dd	 3.19	 3.16	 3.21
Carnosine	 3.20	 0.0968	 dd	 3.19	 3.16	 3.21
Carnosine	 3.20	 0.0955	 dd	 3.19	 3.16	 3.21
Carnosine	 3.21	 0.0417	 dd	 3.19	 3.16	 3.21
Carnosine	 3.17	 0.1269	 dd	 3.19	 3.16	 3.21
Carnosine	 3.18	 0.1337	 dd	 3.19	 3.16	 3.21
Carnosine	 3.19	 0.0965	 dd	 3.19	 3.16	 3.21
Carnosine	 3.19	 0.0958	 dd	 3.19	 3.16	 3.21
Carnosine	 3.20	 0.0968	 dd	 3.19	 3.16	 3.21
Carnosine	 3.20	 0.0955	 dd	 3.19	 3.16	 3.21
Carnosine	 3.21	 0.0417	 dd	 3.19	 3.16	 3.21
Carnosine	 3.23	 0.1968	 dt	 3.24	 3.22	 3.26
Carnosine	 3.23	 0.1799	 dt	 3.24	 3.22	 3.26
Carnosine	 3.24	 0.3320	 dt	 3.24	 3.22	 3.26
Carnosine	 3.24	 0.2338	 dt	 3.24	 3.22	 3.26
Carnosine	 3.24	 0.2430	 dt	 3.24	 3.22	 3.26
Carnosine	 3.25	 0.1666	 dt	 3.24	 3.22	 3.26
Carnosine	 3.25	 0.1686	 dt	 3.24	 3.22	 3.26
Carnosine	 3.26	 0.0326	 dt	 3.24	 3.22	 3.26
Carnosine	 3.23	 0.1968	 dt	 3.24	 3.22	 3.26
Carnosine	 3.23	 0.1799	 dt	 3.24	 3.22	 3.26
