truth:...bute/pk_fnd_exp/2011-11Nov-22$ cd ../data
truth:...nt_distribute/pk_fnd_exp/data$ waffles_learn splittest -reps 100 -stddev -trainratio 0.7 two_spectra_window_65.arff -ignore 0,66,67 -labels 68 bag 128 decisiontree -maxlevels 2
rep 0) 0.73229115779189
rep 1) 0.79482169027846
rep 2) 0.7181240840254
rep 3) 0.76160234489497
rep 4) 0.73131411822179
rep 5) 0.75378602833415
rep 6) 0.72105520273571
rep 7) 0.78602833414754
rep 8) 0.72789447972643
rep 9) 0.75769418661456
rep 10) 0.75964826575476
rep 11) 0.7914020517831
rep 12) 0.79677576941866
rep 13) 0.78114313629702
rep 14) 0.73815339521251
rep 15) 0.73131411822179
rep 16) 0.79579872984856
rep 17) 0.72203224230582
rep 18) 0.73375671714704
rep 19) 0.71128480703468
rep 20) 0.73229115779189
rep 21) 0.77723497801661
rep 22) 0.77918905715682
rep 23) 0.72691744015633
rep 24) 0.72984855886663
rep 25) 0.78749389350269
rep 26) 0.73961895456766
rep 27) 0.74401563263312
rep 28) 0.74255007327797
rep 29) 0.77039570102589
rep 30) 0.73473375671715
rep 31) 0.7914020517831
rep 32) 0.71372740595994
rep 33) 0.73180263800684
rep 34) 0.72154372252076
rep 35) 0.7723497801661
rep 36) 0.72203224230581
rep 37) 0.72789447972643
rep 38) 0.72105520273571
rep 39) 0.72007816316561
rep 40) 0.72007816316561
rep 41) 0.79970688812897
rep 42) 0.78163165608207
rep 43) 0.78553981436248
rep 44) 0.72203224230581
rep 45) 0.79384465070835
rep 46) 0.72056668295066
rep 47) 0.78553981436248
rep 48) 0.7361993160723
rep 49) 0.72203224230581
rep 50) 0.71763556424035
rep 51) 0.74059599413776
rep 52) 0.72447484123107
rep 53) 0.72789447972643
rep 54) 0.79384465070835
rep 55) 0.76648754274548
rep 56) 0.74303859306302
rep 57) 0.77772349780166
rep 58) 0.71763556424035
rep 59) 0.7532975085491
rep 60) 0.72349780166097
rep 61) 0.73473375671715
rep 62) 0.76355642403517
rep 63) 0.72496336101612
rep 64) 0.72300928187592
rep 65) 0.71128480703468
rep 66) 0.78358573522228
rep 67) 0.78847093307279
rep 68) 0.72447484123107
rep 69) 0.72984855886664
rep 70) 0.77870053737176
rep 71) 0.73082559843674
rep 72) 0.77870053737176
rep 73) 0.77088422081094
rep 74) 0.74303859306302
rep 75) 0.72642892037128
rep 76) 0.71470444553004
rep 77) 0.73766487542746
rep 78) 0.73277967757694
rep 79) 0.72056668295066
rep 80) 0.73131411822179
rep 81) 0.7342452369321
rep 82) 0.70249145090376
rep 83) 0.72154372252076
rep 84) 0.73180263800684
rep 85) 0.77967757694187
rep 86) 0.78944797264289
rep 87) 0.73326819736199
rep 88) 0.74206155349292
rep 89) 0.77772349780166
rep 90) 0.80019540791402
rep 91) 0.72789447972643
rep 92) 0.71958964338056
rep 93) 0.72056668295066
rep 94) 0.7371763556424
rep 95) 0.7923790913532
rep 96) 0.7342452369321
rep 97) 0.78260869565217
rep 98) 0.72887151929653
rep 99) 0.73033707865169
-----Mean-----
0.74721055202736
-----Standard Deviation-----
0.027725026054981
truth:...nt_distribute/pk_fnd_exp/data$ exit
exit

Process shell finished
