truth:...bute/pk_fnd_exp/2011-11Nov-22$ cd ../data/
truth:...nt_distribute/pk_fnd_exp/data$ waffles_learn splittest -reps 100 -stddev -trainratio 0.7 two_spectra_window_65.arff -ignore 0,66,67 -labels 68 bag 32 decisiontree -maxlevels 2
rep 0) 0.72349780166097
rep 1) 0.72887151929653
rep 2) 0.76941866145579
rep 3) 0.78895945285784
rep 4) 0.79482169027846
rep 5) 0.72691744015633
rep 6) 0.78016609672692
rep 7) 0.71958964338056
rep 8) 0.72056668295066
rep 9) 0.72936003908158
rep 10) 0.71421592574499
rep 11) 0.79189057156815
rep 12) 0.71519296531509
rep 13) 0.78944797264289
rep 14) 0.75085490962384
rep 15) 0.73473375671715
rep 16) 0.71421592574499
rep 17) 0.77283829995115
rep 18) 0.79091353199805
rep 19) 0.71665852467025
rep 20) 0.7733268197362
rep 21) 0.7171470444553
rep 22) 0.72740595994138
rep 23) 0.72300928187592
rep 24) 0.72007816316561
rep 25) 0.71275036638984
rep 26) 0.76306790425012
rep 27) 0.73131411822179
rep 28) 0.76893014167074
rep 29) 0.71421592574499
rep 30) 0.79433317049341
rep 31) 0.72349780166097
rep 32) 0.76160234489497
rep 33) 0.73473375671715
rep 34) 0.76844162188569
rep 35) 0.72887151929653
rep 36) 0.7191011235955
rep 37) 0.75769418661456
rep 38) 0.70200293111871
rep 39) 0.72349780166097
rep 40) 0.78309721543722
rep 41) 0.74157303370787
rep 42) 0.72691744015633
rep 43) 0.74596971177333
rep 44) 0.78065461651197
rep 45) 0.78163165608207
rep 46) 0.77723497801661
rep 47) 0.72056668295066
rep 48) 0.74206155349292
rep 49) 0.72007816316561
rep 50) 0.71910112359551
rep 51) 0.75280898876405
rep 52) 0.80556912554959
rep 53) 0.78895945285784
rep 54) 0.72789447972643
rep 55) 0.80068392769907
rep 56) 0.7161700048852
rep 57) 0.78602833414753
rep 58) 0.78114313629702
rep 59) 0.78993649242794
rep 60) 0.72300928187592
rep 61) 0.75915974596971
rep 62) 0.77479237909135
rep 63) 0.7171470444553
rep 64) 0.7352222765022
rep 65) 0.76941866145579
rep 66) 0.78993649242794
rep 67) 0.79384465070835
rep 68) 0.78651685393258
rep 69) 0.72252076209087
rep 70) 0.78553981436248
rep 71) 0.78602833414753
rep 72) 0.73131411822179
rep 73) 0.72691744015632
rep 74) 0.75232046897899
rep 75) 0.71958964338056
rep 76) 0.76746458231558
rep 77) 0.72740595994138
rep 78) 0.79189057156815
rep 79) 0.79628724963361
rep 80) 0.78993649242794
rep 81) 0.78505129457743
rep 82) 0.77821201758671
rep 83) 0.74792379091353
rep 84) 0.71030776746458
rep 85) 0.72154372252076
rep 86) 0.70639960918417
rep 87) 0.76893014167074
rep 88) 0.72984855886663
rep 89) 0.73473375671715
rep 90) 0.72642892037128
rep 91) 0.75720566682951
rep 92) 0.71910112359551
rep 93) 0.72154372252076
rep 94) 0.72838299951148
rep 95) 0.78260869565217
rep 96) 0.76453346360528
rep 97) 0.71910112359551
rep 98) 0.79579872984856
rep 99) 0.78114313629702
-----Mean-----
0.7505129457743
-----Standard Deviation-----
0.030008330680249
truth:...nt_distribute/pk_fnd_exp/data$ exit
exit

Process shell finished
