Collection ID	-3493428429
Type	 SpectraCollection
Description	 Synthetic dataset generated from prior used for prototype bayesian noise reduce and peak-finding with seed3493428429 on Sat Jan  7 23:00:34 2012
Processing log	
X	Y0	is_peak_0	Y1	is_peak_1	Y2	is_peak_2	Y3	is_peak_3	Y4	is_peak_4	Y5	is_peak_5	Y6	is_peak_6	Y7	is_peak_7	Y8	is_peak_8	Y9	is_peak_9	Y10	is_peak_10	Y11	is_peak_11	Y12	is_peak_12	Y13	is_peak_13	Y14	is_peak_14	Y15	is_peak_15	Y16	is_peak_16	Y17	is_peak_17	Y18	is_peak_18	Y19	is_peak_19
0	0.000389746	0	0.0275282	0	0.000638194	0	0.0633728	0	0.058939	0	0.053532	0	0	0	0.000511767	0	0.00094563	0	0.0936924	0	0.0792827	0	0.00365216	0	0.0110467	0	0.00357262	0	0.000891748	0	0.0496519	0	0.0340447	0	0.00432336	0	0.118279	0	0.000569143	0
0.000433386	0.000408437	0	0.0326318	0	0.000779013	0	0.0773253	0	0.0620144	1	0.0626919	0	0	0	0.000571893	0	0.000986411	0	0.180148	1	0.0960565	0	0.0040854	0	0.0142355	0	0.00405265	0	0.000923962	0	0.0556529	0	0.0389574	0	0.00575056	0	0.138727	1	0.000620643	0
0.000866772	0.000428736	0	0.03414	1	0.000978793	0	0.0937201	0	0.0609857	0	0.0638867	1	0	0	0.000652039	0	0.0010306	0	0.11807	0	0.102101	1	0.00460983	0	0.0184757	0	0.00463463	0	0.000958074	0	0.0608318	0	0.0402356	1	0.00771747	0	0.111302	0	0.000679529	0
0.00130016	0.000450848	0	0.032043	0	0.00127565	0	0.112429	0	0.0561934	0	0.0560921	0	0	0	0.000771477	0	0.00107865	0	0.101004	0	0.0940843	0	0.00525698	0	0.0238117	0	0.00534945	0	0.000994247	0	0.0647307	0	0.0372866	0	0.00999557	0	0.115053	0	0.000747306	0
0.00173354	0.000475009	0	0.0286646	0	0.00174946	0	0.132328	0	0.0489719	0	0.0444809	0	0	0	0.000981465	0	0.00113108	0	0.121669	0	0.0787356	0	0.00607772	0	0.0299006	0	0.0062421	0	0.00103266	0	0.0669521	0	0.0319063	0	0.0120458	0	0.144847	0	0.000825974	0
0.00216693	0.000501498	0	0.0258639	0	0.00261435	0	0.150328	0	0.0408128	0	0.0334137	0	0	0	0.00140469	0	0.00118855	0	0.138452	1	0.0639249	0	0.00716301	0	0.0355909	0	0.00738349	0	0.00107352	0	0.0672696	1	0.0262419	0	0.0131472	1	0.162115	1	0.000918437	0
0.00260031	0.000530642	0	0.0241616	0	0.00448491	0	0.161934	1	0.0328425	0	0.02465	0	0	0	0.00228164	0	0.00125181	0	0.140283	1	0.0528489	0	0.00869268	0	0.0388237	1	0.00889647	0	0.00111704	0	0.0657484	0	0.0214525	0	0.012924	0	0.146157	0	0.00102957	0
0.0030337	0.000562831	0	0.0231621	0	0.00863415	0	0.166324	0	0.0257472	0	0.0183713	0	0	0	0.0039666	0	0.00132179	0	0.125059	1	0.0453383	0	0.011053	0	0.0379867	0	0.0110089	0	0.0011635	0	0.0628633	0	0.0178878	0	0.0117723	0	0.108196	0	0.0011689	0
0.00346709	0.00059853	0	0.0220707	1	0.0160307	0	0.166844	0	0.0198612	0	0.0142423	0	0	0	0.00678258	0	0.00139961	0	0.100924	0	0.0399033	1	0.0151585	0	0.0337152	0	0.0141424	0	0.00121317	0	0.0596116	0	0.0155085	0	0.0104021	0	0.0696803	0	0.00135706	0
0.00390047	0.000638299	0	0.0202985	0	0.0219564	1	0.165902	0	0.0152626	0	0.0120752	0	0	0	0.0107115	0	0.00148667	0	0.0771976	0	0.035023	0	0.023178	0	0.0281366	0	0.0190207	0	0.0012664	0	0.0574752	0	0.0141257	0	0.00931662	0	0.0431441	0	0.0016396	0
