Collection ID	8974
Type	SpectraCollection
Description	Merged 2,DFP,2,control
Processing log	Standardized ppm range to 4.65:0.002016:-3.58. Cropped ranges: 1,-1.5. Normalized to weight. Binned.
Base sample ID	2280	2281	2282	2283	2286	2284	2285	2287	2288	2289
Time	2	2	2	2	2	2	2	2	2	2
Classification	DFP	DFP	DFP	DFP	DFP	control	control	control	control	control
Sample ID	brainstem	brainstem	brainstem	brainstem	brainstem	brainstem	brainstem	brainstem	brainstem	brainstem
Subject ID	94	129	115	114	107	139	126	92	112	146
Sample Description	
Weight	0.458000	0.520000	0.560000	0.546000	0.561000	0.548000	0.526000	0.509000	0.526000	0.506000
Units of weight	g	g	g	g	g	g	g	g	g	g
Species	rat	rat	rat	rat	rat	rat	rat	rat	rat	rat
X	Y1	Y2	Y3	Y4	Y5	Y6	Y7	Y8	Y9	Y10
0.418416	8.122933	2.729222	9.855363	0.411421	11.989201	13.322701	23.547670	1.603656	3.721037	9.972234
0.337776	18.671600	4.943231	8.333571	3.385229	14.413266	10.256374	20.979350	2.665295	4.552875	10.849966
0.268728	12.484114	40.707248	49.607132	29.244288	87.304528	58.085385	83.995791	38.135202	24.811020	58.152864
0.160872	35.723388	45.029577	66.362446	31.934018	68.666103	79.492139	107.150177	45.819200	30.398941	70.155779
0.065616	55.728826	398.630965	367.133096	600.202445	83.458759	337.659825	192.402544	593.305613	53.468327	601.859470
0.018240	47.089652	482.629302	496.036916	204.986566	90.308988	535.920507	209.389878	310.555556	47.362768	405.130698
-0.018048	499.066447	503.521085	532.532098	335.215597	1448.432237	580.417604	1532.715610	406.315680	483.641415	451.819494
-0.069960	246.215246	178.466027	175.388845	150.840112	828.600004	178.976774	564.870251	166.691684	195.393671	174.286154
-0.145560	258.012550	310.784306	301.481298	276.061236	476.934558	286.351221	341.383439	314.639495	108.468613	290.582300
-0.281640	83.036588	91.016067	71.538813	51.627427	669.087740	113.706673	523.471413	56.542990	139.974210	111.791883
-0.419736	37.109246	53.988943	48.272308	43.894912	143.234493	56.741313	116.317791	54.760553	27.423987	60.052630
-0.520536	0.232072	-0.963396	0.520173	-3.033093	44.965802	6.081631	31.090700	11.906242	0.764544	17.589148
-0.602184	-0.179810	0.516115	-1.262777	0.938826	4.186193	3.091589	9.076160	-3.018308	-0.360834	3.633648
-0.714576	51.034067	62.639183	81.071398	47.256081	99.716542	83.121099	137.139418	49.759420	42.727191	81.846204
-0.866784	536.887680	929.973423	933.917627	787.666075	1695.030485	949.409604	1552.092321	859.480951	502.359526	922.503292
-0.996816	-0.071355	6.527467	3.126023	7.950275	36.641349	2.079655	18.405593	6.917697	0.001510	5.612540
