Collection ID	10825
Type	SpectraCollection
Description	48,VeVe,Rat,Urine (1)
Processing log	Standardized ppm range to 11.6:0.0007:-2.0. Set reference [0.030000,-0.030000]. Fix baseline (lambda: 200.000000). Cropped ranges: 9.8,0.14. Zeroed ranges: 6.01,5.54;5.0,4.72;4.01,3.92;3.86,3.82. Sum normalized to 1000.0.  Extracted peak areas for:  U6.837 (13), U6.824 (14).
Base sample ID	20509	20526	20539	20590	20592	20648	20690	20715	20819	20826	20837
Time	48	48	48	48	48	48	48	48	48	48	48
Classification	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe
Sample ID	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine
Subject ID	20	21	19	24	22	23	44	46	47	45	43
Sample Description											
Weight											
Units of weight											
Species	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat
X	Y1	Y2	Y3	Y4	Y5	Y6	Y7	Y8	Y9	Y10	Y11
13000.000000	0.000164	0.000132	0.000188	0.000107	0.000132	0.000021	0.000117	0.000137	0.000081	0.000198	0.000121
13001.000000	0.000164	0.000132	0.000188	0.000107	0.000132	0.000021	0.000117	0.000137	0.000081	0.000198	0.000121
14000.000000	0.000148	0.000096	0.000080	0.000112	0.000081	0.000031	0.000164	0.000148	0.000106	0.000147	0.000059
14001.000000	0.000148	0.000096	0.000080	0.000112	0.000081	0.000031	0.000164	0.000148	0.000106	0.000147	0.000059
