Collection ID	10824
Type	SpectraCollection
Description	48,DSFu,Rat,Urine (1)
Processing log	Standardized ppm range to 11.6:0.0007:-2.0. Set reference [0.030000,-0.030000]. Fix baseline (lambda: 200.000000). Cropped ranges: 9.8,0.14. Zeroed ranges: 6.01,5.54;5.0,4.72;4.01,3.92;3.86,3.82. Sum normalized to 1000.0.  Extracted residual after subtracting peaks for:  U6.837 (13), U6.824 (14).
Base sample ID	20531	20540	20541	20553	20637	20673	20707	20748	20792	20822	20834	20835
Time	48	48	48	48	48	48	48	48	48	48	48	48
Classification	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu
Sample ID	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine
Subject ID	5	6	3	1	2	4	25	29	28	26	30	27
Sample Description												
Weight												
Units of weight												
Species	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat
X	Y1	Y2	Y3	Y4	Y5	Y6	Y7	Y8	Y9	Y10	Y11	Y12
9.799600	0.000328	-0.000113	0.000543	-0.000423	0.000344	-0.000825	-0.000182	-0.000611	-0.000817	-0.000086	0.000085	-0.000498
9.798900	-0.000619	-0.000038	-0.000554	0.000874	0.000722	0.000018	-0.000041	-0.000690	-0.001368	-0.000539	-0.000782	-0.000859
9.798200	0.000181	-0.000341	0.000961	0.001190	0.000263	0.000713	0.000345	-0.000543	-0.000357	0.000071	-0.000494	-0.001235
9.797500	-0.000205	0.000401	0.000243	0.000032	0.000448	0.000618	-0.000148	-0.000492	-0.000397	0.000535	-0.000766	-0.000907
9.796800	0.000045	0.000195	0.000757	0.000366	0.000309	-0.000310	0.000191	0.000236	-0.000187	0.000423	-0.000080	-0.001733
9.796100	-0.000522	-0.000420	0.000496	0.000195	0.000366	0.000198	0.000430	0.000147	0.000170	-0.001086	0.000219	-0.000727
9.795400	-0.000714	0.000180	-0.000065	0.000271	-0.000293	-0.000219	0.000458	-0.000182	-0.000127	-0.001064	-0.000078	-0.000149
9.794700	-0.001233	-0.000111	-0.000771	-0.000438	0.000469	-0.000533	-0.000440	-0.000442	-0.001730	-0.000462	-0.000356	-0.000680
9.794000	-0.000381	0.001220	-0.000214	0.000043	0.000339	0.000207	-0.000678	-0.000324	-0.000959	-0.000830	-0.000068	0.000652
9.793300	0.000807	0.000273	-0.001009	-0.000512	-0.000568	-0.000425	0.000087	-0.000705	0.001055	0.000331	-0.000020	0.000604
9.792600	0.001176	0.000488	0.000373	-0.000639	-0.000155	0.000569	0.000293	-0.001353	0.001596	-0.000238	0.000031	0.000990
9.791900	0.001015	-0.000536	0.000827	0.000423	0.000260	-0.000212	0.000423	-0.000002	-0.000034	0.000049	0.000421	-0.000365
9.791200	-0.000345	-0.000238	0.001141	0.000645	0.000335	-0.001464	0.000983	0.000445	-0.000689	0.000241	0.000628	-0.001049
9.790500	-0.000541	-0.001313	-0.000439	0.000104	-0.000036	0.000181	-0.000023	0.000708	0.000119	-0.000146	-0.000116	-0.000598
9.789800	0.000435	-0.000146	-0.000776	-0.000349	-0.000558	-0.000456	-0.000599	-0.000552	0.000486	-0.000532	-0.000132	-0.000499
9.789100	0.000852	-0.000759	0.000175	-0.000661	-0.000826	-0.000345	-0.001000	0.000065	-0.000242	-0.000415	0.000156	-0.000382
9.788400	-0.000044	0.000338	0.000055	-0.000635	-0.000125	0.000056	0.000538	0.000845	0.000531	-0.000285	0.001095	-0.000154
9.787700	-0.000390	-0.000543	-0.001412	-0.001062	-0.000392	-0.000303	0.000351	0.000321	0.001071	0.000178	0.001038	-0.000670
9.787000	0.000384	-0.000710	-0.000920	-0.000380	-0.001227	0.000348	0.000582	0.000142	-0.000252	-0.000055	0.000411	-0.000497
9.786300	0.000110	-0.001059	-0.000274	-0.000001	-0.000538	-0.000463	-0.000788	0.000040	-0.000743	-0.000164	-0.000008	-0.000070
