Collection ID	10824
Type	SpectraCollection
Description	48,DSFu,Rat,Urine (1)
Processing log	Standardized ppm range to 11.6:0.0007:-2.0. Set reference [0.030000,-0.030000]. Fix baseline (lambda: 200.000000). Cropped ranges: 9.8,0.14. Zeroed ranges: 6.01,5.54;5.0,4.72;4.01,3.92;3.86,3.82. Sum normalized to 1000.0.  Extracted peak areas for:  U6.837 (13), U6.824 (14).
Base sample ID	20531	20540	20541	20553	20637	20673	20707	20748	20792	20822	20834	20835
Time	48	48	48	48	48	48	48	48	48	48	48	48
Classification	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu
Sample ID	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine
Subject ID	5	6	3	1	2	4	25	29	28	26	30	27
Sample Description												
Weight												
Units of weight												
Species	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat
X	Y1	Y2	Y3	Y4	Y5	Y6	Y7	Y8	Y9	Y10	Y11	Y12
13000.000000	0.000422	0.000109	0.000343	0.000174	0.000079	0.000220	0.000290	0.000075	0.000122	0.000161	0.000174	0.000315
13001.000000	0.000422	0.000109	0.000343	0.000174	0.000079	0.000220	0.000290	0.000075	0.000122	0.000161	0.000174	0.000315
14000.000000	0.000160	0.000450	0.000194	0.000065	0.000071	0.000129	0.000205	0.000073	0.000072	0.000108	0.002086	0.000123
14001.000000	0.000160	0.000450	0.000194	0.000065	0.000071	0.000129	0.000205	0.000073	0.000072	0.000108	0.002086	0.000123
