Collection ID	10824
Type	SpectraCollection
Description	48,DSFu,Rat,Urine (1)
Processing log	Standardized ppm range to 11.6:0.0007:-2.0. Set reference [0.030000,-0.030000]. Fix baseline (lambda: 200.000000). Cropped ranges: 9.8,0.14. Zeroed ranges: 6.01,5.54;5.0,4.72;4.01,3.92;3.86,3.82. Sum normalized to 1000.0.  Extracted peak areas for:  U7462 (1), Histidine (2), U6837 (3), U6823 (4), Homovanillate (5), Glucose (6), Lactate (7), Choline (8), Tyrosine (9), U2784 (10), citrate (11).
Base sample ID	20531	20540	20541	20553	20637	20673	20707	20748	20792	20822	20834	20835
Time	48	48	48	48	48	48	48	48	48	48	48	48
Classification	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu
Sample ID	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine
Subject ID	5	6	3	1	2	4	25	29	28	26	30	27
Sample Description												
Weight												
Units of weight												
Species	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat
X	Y1	Y2	Y3	Y4	Y5	Y6	Y7	Y8	Y9	Y10	Y11	Y12
1000.000000	0.000250	0.000095	0.000211	0.000115	0.000125	0.000263	0.000092	0.000246	0.000111	0.000192	0.000212	0.000291
1001.000000	0.000250	0.000095	0.000211	0.000115	0.000125	0.000263	0.000092	0.000246	0.000111	0.000192	0.000212	0.000291
2000.000000	0.000105	0.000205	0.000132	0.000161	0.000176	0.000168	0.000078	0.000223	0.000193	0.000159	0.000223	0.000075
2001.000000	0.000105	0.000205	0.000132	0.000161	0.000176	0.000168	0.000078	0.000223	0.000193	0.000159	0.000223	0.000075
3000.000000	0.000103	0.000093	0.000129	0.000077	0.000092	0.000000	0.000092	0.000144	0.000151	0.000159	0.000054	0.000071
3001.000000	0.000103	0.000093	0.000129	0.000077	0.000092	0.000000	0.000092	0.000144	0.000151	0.000159	0.000054	0.000071
4000.000000	0.000087	0.000273	0.000110	0.000073	0.000060	0.000078	0.000105	0.000062	0.000073	0.000085	0.000064	0.000097
4001.000000	0.000087	0.000273	0.000110	0.000073	0.000060	0.000078	0.000105	0.000062	0.000073	0.000085	0.000064	0.000097
5000.000000	0.001106	0.001569	0.001528	0.000801	0.001080	0.001445	0.001144	0.000796	0.001292	0.000478	0.001037	0.001107
5001.000000	0.000352	0.000679	0.000704	0.000382	0.000498	0.000524	0.000227	0.000323	0.000430	0.000296	0.000459	0.000523
5002.000000	0.000396	0.000300	0.000274	0.000127	0.000149	0.000315	0.000521	0.000184	0.000304	0.000064	0.000174	0.000102
5003.000000	0.000159	0.000374	0.000307	0.000103	0.000149	0.000158	0.000186	0.000124	0.000209	0.000040	0.000235	0.000219
5004.000000	0.000200	0.000216	0.000242	0.000189	0.000283	0.000448	0.000211	0.000166	0.000349	0.000078	0.000169	0.000263
6000.000000	0.003627	0.003002	0.002946	0.005219	0.003129	0.005429	0.005432	0.003522	0.003131	0.006843	0.003634	0.003643
6001.000000	0.000379	0.000655	0.000657	0.002762	0.001145	0.002940	0.001644	0.000899	0.000812	0.002353	0.000820	0.001021
6002.000000	0.001205	0.000881	0.000623	0.002158	0.000356	0.001997	0.000939	0.000841	0.000725	0.000788	0.000966	0.000622
7000.000000	0.005239	0.007436	0.003662	0.005700	0.006112	0.006682	0.003369	0.003071	0.002996	0.006292	0.005099	0.004185
7001.000000	0.002803	0.003479	0.002034	0.002941	0.002772	0.003268	0.001806	0.001703	0.001691	0.002945	0.002339	0.002219
7002.000000	0.002436	0.003958	0.001628	0.002759	0.003340	0.003414	0.001563	0.001368	0.001304	0.003347	0.002760	0.001966
8000.000000	0.000888	0.000874	0.000755	0.001410	0.001253	0.001259	0.001254	0.001131	0.001177	0.001519	0.001223	0.001009
8001.000000	0.000888	0.000874	0.000755	0.001410	0.001253	0.001259	0.001254	0.001131	0.001177	0.001519	0.001223	0.001009
9000.000000	0.001073	0.000626	0.001072	0.000640	0.000630	0.000710	0.000778	0.000978	0.000632	0.000874	0.000860	0.000585
9001.000000	0.000180	0.000200	0.000301	0.000137	0.000510	0.000187	0.000093	0.000756	0.000241	0.000092	0.000656	0.000132
9002.000000	0.000893	0.000427	0.000770	0.000503	0.000119	0.000523	0.000685	0.000222	0.000391	0.000781	0.000204	0.000453
9003.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
9004.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
10000.000000	0.000095	0.000102	0.000065	0.000102	0.000115	0.000101	0.000128	0.000070	0.000050	0.000094	0.000069	0.000104
10001.000000	0.000095	0.000102	0.000065	0.000102	0.000115	0.000101	0.000128	0.000070	0.000050	0.000094	0.000069	0.000104
11000.000000	0.035317	0.038615	0.030585	0.017351	0.022281	0.021738	0.029111	0.037239	0.011403	0.024302	0.036364	0.023605
11001.000000	0.020993	0.023223	0.018508	0.010495	0.013432	0.012834	0.017413	0.022115	0.007061	0.014733	0.021575	0.014321
11002.000000	0.014324	0.015392	0.012077	0.006856	0.008849	0.008904	0.011699	0.015125	0.004342	0.009568	0.014789	0.009284
