Collection ID	10825
Type	SpectraCollection
Description	48,VeVe,Rat,Urine (1)
Processing log	Standardized ppm range to 11.6:0.0007:-2.0. Set reference [0.030000,-0.030000]. Fix baseline (lambda: 200.000000). Cropped ranges: 9.8,0.14. Zeroed ranges: 6.01,5.54;5.0,4.72;4.01,3.92;3.86,3.82. Sum normalized to 1000.0.  Extracted residual after subtracting peaks for:  U6.837 (13), U6.824 (14).
Base sample ID	20509	20526	20539	20590	20592	20648	20690	20715	20819	20826	20837
Time	48	48	48	48	48	48	48	48	48	48	48
Classification	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe
Sample ID	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine
Subject ID	20	21	19	24	22	23	44	46	47	45	43
Sample Description											
Weight											
Units of weight											
Species	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat
X	Y1	Y2	Y3	Y4	Y5	Y6	Y7	Y8	Y9	Y10	Y11
9.799600	0.000788	-0.000990	-0.000290	-0.000490	-0.000174	-0.000105	-0.000135	-0.000061	0.000222	-0.000266	-0.000595
9.798900	0.000102	-0.000775	-0.000342	0.000666	-0.000347	-0.000748	-0.000373	-0.000209	-0.000210	-0.000434	0.000057
9.798200	0.000183	-0.000488	0.000201	-0.000224	0.000376	-0.000167	-0.000489	-0.000003	-0.000959	-0.000402	0.000029
9.797500	-0.000141	0.000157	-0.000200	-0.000734	-0.000099	0.000296	-0.000300	-0.000154	-0.000481	0.000054	-0.000170
9.796800	-0.000474	-0.000187	-0.000711	-0.000454	-0.000775	-0.000895	-0.000164	-0.000070	0.000035	0.000648	-0.000254
9.796100	-0.000224	-0.000356	-0.000027	-0.000307	-0.001216	-0.000053	-0.000297	-0.000504	-0.000236	0.000015	-0.000458
9.795400	0.000117	-0.000510	0.000289	0.000060	-0.000374	0.000226	-0.000034	-0.000519	0.000327	-0.000013	0.000359
9.794700	-0.000014	-0.000560	0.001034	0.000300	0.000013	-0.000406	0.000030	-0.000020	-0.000048	-0.000146	0.000611
9.794000	-0.000716	-0.001648	-0.000048	0.000136	0.000495	-0.001093	-0.000340	-0.000300	-0.000094	-0.000072	-0.000109
9.793300	-0.000845	-0.001207	-0.000567	0.000181	-0.000438	0.000001	-0.000692	-0.000329	0.000166	0.000174	0.000145
9.792600	-0.000000	-0.000019	-0.000438	0.000238	-0.000343	0.000548	-0.000427	-0.000380	0.000073	0.000468	-0.000037
9.791900	0.000773	0.000032	-0.000337	-0.000252	0.000138	-0.000544	0.000569	-0.000154	0.000106	-0.000083	0.000461
9.791200	0.001051	-0.000347	0.000060	-0.000108	-0.000221	-0.000040	-0.000464	0.000276	0.000552	-0.000638	0.000967
9.790500	0.000939	-0.000609	-0.000152	0.000112	-0.000169	-0.000217	-0.000906	-0.000069	0.000346	0.000445	0.000136
9.789800	0.000188	-0.000516	-0.000224	-0.000189	-0.000787	0.000955	-0.000217	0.000407	0.000219	0.000184	0.000132
9.789100	-0.000262	0.000211	-0.000392	-0.000434	-0.000099	-0.000156	-0.000213	0.000147	-0.000112	0.000300	0.000082
9.788400	-0.000805	-0.000572	-0.000027	-0.000130	0.000718	-0.000173	-0.000279	0.000170	-0.000189	-0.000566	-0.000869
9.787700	-0.000983	0.000372	0.000018	0.000383	-0.000135	-0.000490	-0.000351	-0.000187	-0.000430	-0.000667	-0.000697
9.787000	-0.000422	0.000200	0.000407	-0.000479	0.000628	-0.000149	0.000193	0.000216	-0.000094	-0.000734	-0.000730
9.786300	0.000145	-0.000357	0.000046	-0.000212	0.000088	0.000138	0.000328	-0.000408	-0.000192	-0.000850	-0.000661
9.785600	0.000549	0.000285	-0.000740	0.000267	-0.000567	-0.000085	-0.000168	0.000242	-0.000324	-0.000221	-0.000307
9.784900	0.000143	-0.000096	-0.000611	0.000723	-0.000435	-0.000227	-0.000233	0.000067	0.000171	0.000475	-0.000443
9.784200	-0.000307	0.000210	-0.000689	-0.000170	-0.000335	-0.000376	-0.000525	0.000142	-0.000101	-0.000214	-0.000309
9.783500	-0.000616	0.000644	-0.000314	-0.000493	-0.000125	0.000107	0.000028	-0.000152	-0.000638	-0.000116	0.000307
9.782800	-0.000333	0.000757	-0.000111	-0.000541	-0.000014	0.000208	0.000225	-0.000303	0.000166	0.000195	0.001061
9.782100	-0.001282	0.000609	0.000756	-0.000350	-0.000113	0.000480	-0.000250	-0.000559	0.000222	-0.000612	-0.000148
9.781400	-0.000074	0.000144	-0.000194	-0.001046	0.000212	-0.000261	0.000472	0.000149	-0.000171	-0.000115	-0.000789
9.780700	0.000609	-0.000079	-0.000181	0.000015	-0.000345	-0.000975	0.000114	0.000003	-0.000143	-0.000891	-0.000588
9.780000	0.000073	-0.000026	-0.000455	-0.000178	-0.000275	-0.000153	-0.000556	0.000123	-0.000061	-0.000512	-0.000003
9.779300	-0.000533	0.000238	0.000448	-0.000299	-0.000312	-0.000298	0.000084	-0.000230	-0.000471	0.000140	0.000460
9.778600	-0.000174	0.000870	-0.000020	0.000283	0.000555	-0.000578	-0.000117	0.000112	-0.000742	0.000360	-0.000228
9.777900	-0.000687	-0.000376	-0.000035	0.000108	0.000877	0.000084	-0.000007	-0.000092	-0.000664	0.000828	-0.000357
9.777200	-0.000400	-0.000119	-0.000056	-0.000103	0.000052	-0.000091	-0.000569	-0.000149	-0.000131	-0.000491	-0.000336
9.776500	-0.000274	-0.000344	-0.000428	0.000378	0.000165	0.000024	-0.000922	-0.000131	-0.000135	-0.000406	0.000278
9.775800	0.000044	-0.000082	-0.000361	-0.000993	-0.000312	0.000063	-0.000153	-0.000144	0.000020	-0.000471	0.000163
9.775100	-0.000442	-0.000345	-0.000341	-0.000649	0.000261	0.000266	0.000050	0.000399	-0.000343	-0.000112	-0.000571
9.774400	0.000202	-0.000356	0.000121	-0.000307	0.000661	-0.000152	0.000246	0.001018	-0.000567	0.000019	-0.000522
9.773700	0.000485	-0.000379	0.000050	-0.000341	-0.000076	-0.000158	-0.000280	-0.000089	-0.000173	-0.000215	-0.000378
9.773000	-0.000111	-0.000721	-0.000856	-0.000325	-0.000480	-0.000023	-0.000035	-0.000402	-0.000136	0.000016	-0.000602
9.772300	-0.000052	-0.000043	-0.000067	0.000150	-0.000502	-0.000381	-0.000316	-0.000440	0.000288	-0.000098	-0.000568
9.771600	-0.000111	-0.000109	-0.000776	-0.000009	-0.000052	0.000036	0.000062	-0.000190	-0.000114	-0.000174	0.000422
9.770900	-0.000045	-0.000452	-0.000757	-0.000559	-0.000397	-0.000616	-0.000232	0.000022	-0.000184	-0.000062	-0.000319
9.770200	-0.000881	-0.000486	-0.000016	-0.000008	-0.000219	-0.000538	-0.000044	0.000113	0.000054	0.000625	-0.000473
9.769500	-0.000144	-0.000200	0.000687	-0.000219	-0.001278	-0.000412	0.000152	0.000349	-0.000636	0.000160	-0.000455
